Run ID,Process Start Time,Feed Type,Feed (g),Additive 1 (g),Additive 2 (g),Additive 3 (g),Run,Weight before Drying,Weight after Drying,Output A (g),Speed (RPM),Date
146,8.45,A,1365.8,179.03,11.0,,146.0,3884.0,3336.0,5953.00,734.0,17/11/2023
147,9.00,A,1282,178.05,5.05,,147.0,3526.0,2750.0,284.00,843.0,20/11/2023
148,9.00,A,392.45,191.22,5.0,,148.0,1144.0,384.0,702.00,858.0,21/11/2023
149,9.00,A,475.17,223.4,0.0,,149.0,1014.0,311.0,892.00,583.0,22/11/2023
157,9.15,A,385.01,57.01,5.03,,157.0,1880.0,239.0,1304.00,685.0,05/12/2023
159,9.15,A,499.66,263.31,6.01,,159.0,1334.0,594.0,271.00,808.0,07/12/2023
160,9.45,A,589,266.0,8.0,,160.0,1140.0,200.0,1042.00,801.0,08/12/2023
161,11.30,A,487.11,215.23,0.99,,161.0,1456.0,796.0,381.00,822.0,11/12/2023
162,9.30,A,584,263.13,0.0,,162.0,900.0,259.0,196.00,579.0,12/12/2023
163,9.00,A,644.11,298.35,13.02,,163.0,768.0,214.0,683.00,758.0,13/12/2023
164,9.35,A,422.44,206.28,8.28,,164.0,1229.0,471.0,1094.00,605.0,14/12/2023
165,9.05,A,621.31,279.24,3.08,,165.0,1528.0,833.0,513.00,676.0,15/12/2023
166,9.10,A,690.24,69.11,3.02,,166.0,802.0,277.0,1247.00,675.0,18/12/2023
169,9.10,A,695.02,37.17,5.08,,169.0,1176.0,306.0,667.00,769.0,21/12/2023
186,8.35,A,540.77,0.0,11.0,,186.0,1983.0,1418.0,1239.00,845.0,24/01/2024
187,9.10,A,538,160.24,0.0,,187.0,1495.0,964.0,307.00,521.0,26/01/2024
188,9.10,A,556,118.75,7.0,,188.0,1175.0,322.0,1018.00,825.0,29/01/2024
189,10.00,A,513,224.0,5.24,,189.0,1447.0,496.0,1959.00,708.0,30/01/2024
190,9.20,A,341,178.81,0.16,,190.0,1869.0,1165.0,1257.00,860.0,31/01/2024
191,9.10,A,603.44,4.0,4.0,,191.0,1987.0,1111.0,709.00,563.0,01/02/2024
194,9.40,A,599.11,0.0,1.0,,194.0,823.0,281.0,1679.00,855.0,07/02/2024
195,9.40,A,564.12,0.0,10.01,,195.0,2066.0,1438.0,604.00,607.0,08/02/2024
196,8.40,A,477,195.08,1.0,,196.0,1265.0,236.0,1528.00,706.0,09/02/2024
197,10.40,A,371,100.0,2.0,,197.0,1559.0,764.0,376.00,617.0,12/02/2024
198,10.00,A,594,0.0,0.0,,198.0,1625.0,382.0,1342.00,655.0,13/02/2024
199,10.00,A,525.1,0.0,5.49,,199.0,1696.0,880.0,2227.00,719.0,14/02/2024
200,10.20,A,1557,93.0,5.5,,200.0,3268.0,1292.0,368.00,483.0,15/02/2024
201,8.30,A,390,99.0,7.0,,201.0,1029.0,287.0,2046.00,738.0,16/02/2024
202,10.30,A,598.82,56.0,13.24,,202.0,2403.0,1245.0,538.00,535.0,19/02/2024
203,9.00,B,1475,160.55,13.34,,203.0,998.0,345.0,1087.00,680.0,21/02/2024
204,9.02,A,529,113.0,9.4,,204.0,1401.0,840.0,580.00,794.0,22/02/2024
208,9.00,A,137.01,168.0,13.01,,208.0,1014.0,241.0,644.00,677.0,28/02/2024
211,10.41,A,552.02,198.13,5.03,,211.0,1336.0,217.0,664.00,619.0,07/03/2024
212,9.00,A,530.97,0.0,7.01,,212.0,1580.0,961.0,1567.00,647.0,08/03/2024
213,9.45,A,611.12,6.0,0.0,,213.0,1623.0,910.0,519.00,529.0,11/03/2024
214,9.15,A,453.34,100.12,0.0,,214.0,1050.0,378.0,273.00,788.0,12/03/2024
215,9.45,A,399.84,125.34,0.0,,215.0,1441.0,223.0,1378.00,596.0,13/03/2024
216,9.30,A,667,46.0,10.54,,216.0,1430.0,661.0,1045.00,748.0,14/03/2024
